Description,Amino Acids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
BENS940101,10,-1.3,-3.2,-3.4,-5.3,-3.8,-2.4,-5.0,-4.6,-2.2,2.4,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940101,11,-1.9,4.3,1.0,-0.2,-2.8,2.5,0.9,-1.4,0.9,-3.8,-4.1,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940101,12,-0.2,-3.0,-2.5,-4.3,-3.7,-3.1,-4.1,-3.7,-3.4,4.0,2.9,-2.9,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940101,13,-3.2,-4.9,-3.5,-5.7,-0.1,-4.4,-6.7,-5.7,0.1,0.0,2.4,-6.3,-0.1,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940101,14,1.1,-1.3,-1.1,-2.8,-2.7,0.1,-2.6,-1.7,-0.4,-2.0,-0.2,-2.3,-1.8,-3.2,6.5,0.0,0.0,0.0,0.0,0.0,0.0
BENS940101,15,1.4,-0.9,1.2,-0.4,0.9,-1.4,-1.2,0.8,-0.9,-1.2,-1.5,-1.2,-1.3,-1.8,1.4,2.1,0.0,0.0,0.0,0.0,0.0
BENS940101,16,1.7,-1.3,0.5,-1.2,-1.5,-1.7,-1.6,-0.5,-1.7,0.7,-0.4,-1.1,0.6,-2.4,0.6,1.5,2.4,0.0,0.0,0.0,0.0
BENS940101,17,-4.3,2.0,-4.4,-6.3,1.6,-2.6,-5.6,-1.7,-2.8,-5.0,-3.0,-1.4,-4.4,-1.6,-4.8,-2.9,-2.6,14.7,0.0,0.0,0.0
BENS940101,18,-4.0,-2.6,-0.9,-2.3,2.6,-1.4,-4.1,-4.9,4.4,-3.3,-1.6,-4.0,-3.6,5.6,-3.8,-1.8,-3.4,-0.3,9.5,0.0,0.0
BENS940101,19,0.7,-3.7,-2.4,-3.3,-3.1,-3.5,-3.0,-2.3,-3.8,3.9,1.9,-3.8,3.3,-0.5,-1.6,-0.9,0.6,-4.8,-3.8,4.0,0.0
BENS940101,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940101,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940102,0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940102,1,-1.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940102,2,0.0,0.4,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940102,3,-0.2,-1.0,2.4,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940102,4,-1.2,-1.6,-1.9,-3.7,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940102,5,-0.9,2.2,0.5,0.6,-3.3,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940102,6,-0.3,-0.1,1.2,3.9,-4.3,1.7,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940102,7,0.8,-0.7,0.4,0.7,-1.7,-1.4,0.5,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940102,8,-1.6,1.5,1.4,0.3,-1.5,2.4,-0.2,-2.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940102,9,-0.4,-3.2,-2.7,-4.0,-2.4,-2.7,-3.6,-3.8,-3.2,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940102,10,-1.7,-2.9,-3.5,-4.9,-2.6,-2.0,-4.4,-4.9,-2.1,2.7,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940102,11,-1.0,3.9,1.0,0.2,-3.3,2.2,1.0,-1.0,0.8,-3.0,-3.3,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940102,12,-0.8,-2.1,-2.6,-3.9,-2.5,-1.7,-3.4,-3.8,-2.4,3.1,3.2,-2.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940102,13,-3.1,-4.3,-3.5,-5.4,-0.1,-3.6,-5.7,-5.8,0.3,0.5,2.2,-5.1,0.7,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940102,14,0.8,-1.2,-1.1,-1.8,-3.1,-0.1,-1.7,-1.8,-0.4,-2.3,-1.3,-1.6,-2.0,-3.4,7.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940102,15,1.3,-0.5,1.1,0.1,0.3,-0.6,-0.5,0.6,-0.5,-1.4,-2.1,-0.4,-1.5,-2.2,1.1,2.0,0.0,0.0,0.0,0.0,0.0
BENS940102,16,1.4,-0.7,0.5,-0.7,-1.1,-0.7,-0.9,-0.7,-1.1,0.3,-1.0,-0.4,0.1,-2.6,0.4,1.5,2.5,0.0,0.0,0.0,0.0
BENS940102,17,-5.5,-1.1,-5.2,-6.4,0.5,-3.3,-6.3,-4.5,-2.7,-4.4,-1.8,-3.7,-2.8,0.5,-5.8,-3.9,-4.5,15.7,0.0,0.0,0.0
BENS940102,18,-3.5,-2.7,-1.2,-3.0,0.6,-1.9,-4.0,-4.8,3.7,-2.2,-0.7,-3.6,-1.8,5.9,-3.5,-1.9,-3.0,1.5,9.0,0.0,0.0
BENS940102,19,0.4,-2.9,-2.3,-3.0,-1.7,-2.4,-2.7,-2.5,-3.0,3.6,2.0,-2.7,2.5,-0.1,-1.7,-0.9,0.4,-4.5,-2.6,3.7,0.0
BENS940102,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940102,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
